timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-10-16T03:04:44,codecarbon,88003c08-a0ac-434b-87ee-55f57a5f7abc,0.0310242176055908,2.57454569590359e-08,8.298503216531189e-07,42.5,0.0,5.899106025695801,3.541775875621372e-07,0,2.7859168025277844e-08,3.82036755587415e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:09:15,codecarbon,79d9286e-ff1a-4d2d-a79f-99e642f27453,0.0189130306243896,1.522778288776688e-08,8.051476883947733e-07,42.5,0.0,5.899106025695801,2.113671766387092e-07,0,1.4597846180208764e-08,2.25965022818918e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:09:16,codecarbon,ee799c09-4a33-44cd-aa4c-bd02bdd4c800,0.0249929428100585,2.1318517791355584e-08,8.52981497752069e-07,42.5,0.0,5.899106025695801,2.950555748409696e-07,0,2.1289844232417943e-08,3.163454190733875e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:09:26,codecarbon,bbad0b6f-ddbd-45ef-8b08-19ef493052ec,0.0255098342895507,2.1730455306322103e-08,8.518461962421776e-07,42.5,0.0,5.899106025695801,3.011577659183079e-07,0,2.1300392655992562e-08,3.224581585743004e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:10:50,codecarbon,4920c9bb-e468-4858-8e00-4b34f3afe040,0.0185163021087646,1.5835938151019897e-08,8.552430208796384e-07,42.5,0.0,5.899106025695801,2.185952332284717e-07,0,1.6394203646730907e-08,2.349894368752025e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:11:13,codecarbon,980a5796-8642-4e57-aae8-769c85b78092,0.0220000743865966,1.803546266401825e-08,8.197909855707657e-07,42.5,0.0,5.899106025695801,2.4792684449089896e-07,0,1.970132977855125e-08,2.676281742694502e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:11:22,codecarbon,297799a3-56d6-4703-b660-59997fbe91d4,0.0190451145172119,1.5490768063709757e-08,8.133722719130969e-07,42.5,0.0,5.899106025695801,2.134838038020664e-07,0,1.6383655223156288e-08,2.298674590252227e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:12:18,codecarbon,45ee7e6e-c001-4ed3-a5fb-f1bbdff6b546,0.0200808048248291,1.7198701028464077e-08,8.564746870702404e-07,42.5,0.0,5.899106025695801,2.3706505695978802e-07,0,1.814641400718149e-08,2.552114709669696e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:15:20,codecarbon,ae7db78a-2820-494b-ab07-906c4244bda7,0.022038459777832,1.7952790414289943e-08,8.14611846529685e-07,42.5,0.0,5.899106025695801,2.483800053596497e-07,0,1.8021395653704533e-08,2.664014010133542e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
2023-10-16T03:15:40,codecarbon,cb0b35b4-bb41-4370-9062-38a8581ea07f,0.0223627090454101,1.825410787184801e-08,8.162744430820462e-07,42.5,0.0,5.899106025695801,2.528496914439732e-07,0,1.8022958383123e-08,2.7087264982709614e-07,France,FRA,île-de-france,,,Windows-10-10.0.22621-SP0,3.11.6,2.3.1,16,12th Gen Intel(R) Core(TM) i7-1260P,,,2.2875,48.9119,15.730949401855469,machine,N,1.0
